Timestamp,What_is_your_program,Are_you_an_international_student,Previous_Year_Housing,Upcoming_Year_Housing,"What_is_your_monthly_cost_on_utilities_(gas/electric/water/trash/internet/laundry_services/renter's_insurance,_etc.)",Do_you_consider_your_neighborhood_to_be_a_safe_environment_Elaborate_on_your_point.,"If_you_answered_""No""_in_the_previous_question,_considering_the_perceived_level_of_safety_in_your_current_neighborhood,_what_would_be_the_expected_monthly_rental_cost_of_an_apartment_in_a_location_deemed_secure","On_average,_how_much_time_do_you_spend_one-way_commuting_on_a_daily_basis_Please_specify_walk,_drive,_and/or_public_transportation.","What_is_your_average_monthly_cost_to_commute_to_work_Please_include_gas,_Metro_bus,_and/or_taxi/Uber_prices.","What_is_your_average_yearly_expenditure_incurred_for_travel_to_your_home_or_for_vacation_purposes_Please_include_gas,_Metro_bus,_taxi/Uber,_and/or_airfare_prices).","If_you_own_a_car,_what_is_your_average_yearly_cost_for_car_maintenance/car_payments/car_insurance/parking_passes",What_is_your_average_monthly_(not_weekly)_expenditure_on_groceries_and_dining_out,What_is_your_average_monthly_expense_for_health-associated_costs_(medications/copays/procedures/etc.),"For_pet_owners,_what_is_the_average_monthly_expenditure_on_pet-related_costs","If_applicable,_approximately_how_much_do_you_spend_on_average_per_month_to_support_dependents_(children,_elderly_parents,_etc.)","If_applicable,_what_are_your_average_miscellaneous_expenses_per_year_that_are_essential_but_were_not_mentioned_in_the_above_categories_(e.g._Clothing_etc.)_Please_list_each_expense_category_in_your_answer.","In_the_past_12_months,_which_of_the_following_trade-offs_have_you_made_to_meet_living_expenses_(Select_all_that_apply.)"
2025/09/02 11:13:51 AM AST,Ergonomics,Yes,1000.0,1200.0,500.0,It is safe.,1200,Public transport- 1 hour or more,300,3600,5000,,Insurance,None,500,300,"Lived farther from campus to reduce housing/parking costs;Chose a lower-cost apartment despite safety/quality concerns;Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Used credit cards/loans or sold belongings to cover essentials"
2025/09/02 11:20:57 AM AST,"Molecular, Cellular and Biochemical Pharmacology",No,900.0,1000.0,200.0,"Yes, I recently moved to live on a more suburban street with family residences ",,20mins - drive and walk,75,200,3000,200.0,200,0,0,750,"Chose a lower-cost apartment despite safety/quality concerns;Took on additional roommates/shared a room to lower rent;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/09/02 11:22:22 AM AST,Neuroscience,No,980.0,980.0,200.0,yes/no,"i feel okay most of the time in my apartment but i do not feel safe going out after dark because there is lots of crime in the area, rent in a safer area would be minimum $1300 for a one bedroom","20-25, drive","$60, gas","i don’t get to travel, i just go to my parents house which is 45 minutes away so like $100 gas",$1500,600.0,$100,$100,$0,$100,"Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/09/02 11:42:52 AM AST,Molecular and Developmental Biology,No,800.0,800.0,400.0,"Yes, but many surrounding areas are not. We have had multiple fatal shootings at a gas station 3 blocks away since moving here.",,30 min drive,"~$40, not including vehicle wear and tear.",3000,,1000.0,~$600-800,25,Hard to estimate,I don't have an easy way to calculate that.,None of the above
2025/09/02 11:43:44 AM AST,Neuroscience,No,,,250.0,"Yes, there is not much of a neighborhood where I live, I live right off the highway in an apartment complex, so my apartment neighbors are nice, but the next closest thing to me is a 7-10 minute drive or 40 minute walk",,"Drive for 12, walk for 8",$80,$960,$100,150.0,Unsure,$100,,"$200 clothes
$100 beauty",Lived farther from campus to reduce housing/parking costs;Chose a lower-cost apartment despite safety/quality concerns;Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time
2025/09/02 11:55:29 AM AST,Neuroscience,No,675.0,815.0,120.0,Safe enough it seems so far,,20min walk to campus,0,500,1500,500.0,0,0,0,0,None of the above
2025/09/02 12:05:43 PM AST,"Molecular, Cellular and Biochemical Pharmacology",Yes,1000.0,1050.0,150.0,Yes,,I take uber while coming to colz: 10$,150$,2500$,2500$,500.0,100$,,600$,"Clothing: 500$
Cleaning : 300$
Birthdays : 100$
Home appliances: 200$
Electronics: 300$
Subscriptions : youtube, spotify, netflix, chatgpt, amazon prime, walmart, apple care : 600$
",Lived farther from campus to reduce housing/parking costs;Chose a lower-cost apartment despite safety/quality concerns;Reduced transportation costs in ways that increased commute time
2025/09/02 12:33:02 PM AST,Cancer and Cell Biology,Yes,,,100.0,"Yes, since it is close to the campus mostly student occupied.",,20 mins walk,Around $50 for Uber for somedays,"$2000 airfare to travel home, $2000 for other travel purpose overall",,500.0,$300,,,"$1000 for other shopping (clothes, housing appliances etc)",Chose a lower-cost apartment despite safety/quality concerns;Reduced transportation costs in ways that increased commute time
2025/09/02 1:13:13 PM AST,Other,Yes,3000.0,3000.0,700.0,"yes, I live in Mason",,45 min,450,,520$ each month for car + 220 $ insurance every month,1000.0,250$,,A lot,2000,Lived farther from campus to reduce housing/parking costs;Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time
2025/09/02 1:19:23 PM AST,Neuroscience,No,,,289.0,"Yes, mostly. Generally, during the day time I feel safe in my neighborhood but at night I do not feel as safe. There are also occasionally police alerts in the area at night. ",,12 min by walking,,$1000,$1320,400.0,$60,,,"Household Essentials - $281
Clothing - $151","Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/09/02 3:00:33 PM AST,Neuroscience,No,700.0,750.0,550.0,"Yes, I live in an apartment complex off a highway road, so it is quite secluded. Many families with small children live here as well.",,"Drive, 40min",220,400,4000,500.0,100,125,,,"Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/09/02 4:12:25 PM AST,Neuroscience,No,,,100.0,Mostly safe. East Walnut Hills. I feel safe walking in three directions from my apartment. Unsafe walking 1 direction. Apartment itself is mostly quiet; bike has been stolen once. ,,20 minutes. 10 minute drive 10 minute walk,Equivalent to ~$30 month in gas. I also paid for parking in Eden garage for a portion of the summer as where I park becomes significantly less safe during the summer. Windows were smashed. This cost ~$200.,Likely between $500-$1500 depending on trips.,~$4500,,$0,,,~$150 clothing,"Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time"
2025/09/02 4:51:53 PM AST,Neuroscience,No,,1100.0,225.0,"Yes, I feel very safe where I live, it’s in a walkable area",,15 min drive ,35,800,2000,150.0,50,300,,500,"Lived farther from campus to reduce housing/parking costs;Skipped or delayed paying bills (utilities, phone, medical, etc.);Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Used credit cards/loans or sold belongings to cover essentials"
2025/09/03 5:16:05 PM AST,"Molecular, Cellular and Biochemical Pharmacology",No,875.0,885.0,125.0,Yes.,,10 minute drive.,100 dollars,1200 dollars.,1500 dollars,250.0,20,,,100 - clothes,"Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
2025/09/03 5:18:15 PM AST,"Molecular, Cellular and Biochemical Pharmacology",Yes,,540.0,100.0,"Not really, some nearby streets don’t seem to be safe",1000,20 minutes by Metro bus (including waiting and walking to the bus statrion),0,4000,,120.0,0,,,1000,"Took on additional roommates/shared a room to lower rent;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals)"
2025/09/03 5:22:54 PM AST,"Molecular, Cellular and Biochemical Pharmacology",No,725.0,1000.0,100.0,"Not at all, gunshots heard often and do not feel safe leaving lab at night and coming home.",1400,30,100,No clue ,,500.0,150,75,,Idk,"Lived farther from campus to reduce housing/parking costs;Chose a lower-cost apartment despite safety/quality concerns;Took on additional roommates/shared a room to lower rent;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Reduced transportation costs in ways that increased commute time;Other"
2025/09/03 5:35:07 PM AST,"Molecular, Cellular and Biochemical Pharmacology",No,,,200.0,"Mostly.  I live off of a main road so the most dangerous aspect in my opinion is drivers choosing to drive well above the speed limit.  I haven’t interacted with many of the neighbours but of the ones I have, they mostly seem to be families and there are quite a lot of kids around.",,20-30 minutes depending on traffic,$50 ,"Approx $1,300","$3,050",400.0,$100,$150,0,"Clothes- $1000
Personal Hygene- $1050
House Necessities (cleaning supplies, etc)- $2000
School supplies- $1000","Lived farther from campus to reduce housing/parking costs;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Reduced transportation costs in ways that increased commute time"
2025/09/04 7:36:16 AM AST,"Molecular, Cellular and Biochemical Pharmacology",Yes,550.0,550.0,10.0,Not really. I receive many alerts.,,20 mins walk,100,5000,,300.0,0,,,2000,"Chose a lower-cost apartment despite safety/quality concerns;Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals)"
2025/09/05 8:33:07 AM AST,Genetic Counseling,No,1685.0,1700.0,300.0,"Yes, there are lots of families",,"20-25 minutes driving, 12 minute walk from garage",~$50 gas,Not sure,Estimate $1000,,$0 (on Ohio Medicaid),,$500,Unsure,None of the above
2025/09/05 9:08:11 AM AST,Molecular and Developmental Biology,No,1150.0,1185.0,250.0,"Yes, I live in East Walnut Hills, and the area is walkable and relatively crime free. ",,15 minute drive ,$70,$1000,$1500,100.0,$40,,,"Clothing - $500
household items/toiletries/cleaning - $250
","Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost"
2025/09/05 10:22:00 AM AST,Biomedical Informatics/Biostats,No,2000.0,2000.0,300.0,Yes,,$4 - driving (not including parking),$128 ,$500,$1270,250.0,$150,$100,,clothing/personal items - maybe $300?,None of the above
2025/09/05 10:41:37 AM AST,Neuroscience,No,850.0,950.0,150.0,"Mostly, we are very close to a police and fire station but we have also had to report gun shots heard from our apartment more than once in the 2 years we have been there",,10-20 minutes depending on traffic,100,600,500,600.0,65,100,,"Cell phone plan- 600
clothing- 600
Student loan repayment- 2000","Reduced food quality/quantity (e.g., cheaper/less nutritious, skipped meals);Delayed medical/dental care or prescriptions due to cost;Used credit cards/loans or sold belongings to cover essentials"
